Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Stratospheric aerosol injections are the root of global warming,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.349J6TQ,False,2024-01-05 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcStlE0cfcuFfrW0cVq39eahesPp53f_WihY14ky7L4_1psP9kDT,"['Стратосфера', 'Изменение климата', 'Аэрозоль']"
"Scientists predicted global cooling and were wrong, so they are wrong about global warming",Climate Feedback,https://climatefeedback.org/claimreview/uncertainties-about-future-climate-change-1970s-does-not-invalidate-today-evidence-reality-global-warming/,Inaccurate,2023-12-19 08:00:00,,"['Изменение климата', 'Глобальное похолодание', 'Учёный', 'Предвидение']"
Plane bound for climate conference in Dubai froze on German runway,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.347U4NK,False,2023-12-19 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTa0hO9iNK6CDk46Tv9P7y6aoNZFDXp-uxlKASDBWCueVgBVme_,"['Климат', 'Самолёт', 'Взлётно-посадочная полоса', 'Конференция ООН об изменении климата', 'Германия', 'Дубай']"
We do not know if CO2 is the cause of global warming,Climate Feedback,https://climatefeedback.org/claimreview/wall-street-journal-questions-decades-scientific-evidence-demonstrating-elevated-atmospheric-co2-causes-global-warming/,Inaccurate,2023-11-21 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRLbbVQss4iE-7XE5HrVl7vx5fKO9IgPGULqWvSJd7137UkXKpz,"['Глобальное потепление', 'Диоксид углерода', 'Знание']"
Water vapor is the most abundant greenhouse gas so it is the main cause of recent global warming,Climate Feedback,https://climatefeedback.org/claimreview/water-vapor-greenhouse-gas-not-major-driver-global-warming/,Incorrect,2023-12-08 08:00:00,,"['Водяной пар', 'Парниковые газы', 'Изменение климата', 'Пар', 'Вода', 'Газ', 'Теплица']"
"Increases in atmospheric CO2 is mainly from natural causes, like ocean outgassing, and not from humans who emit so little in comparison",Climate Feedback,https://climatefeedback.org/claimreview/video-ian-plimer-incorrectly-states-human-co2-emissions-not-responsible-for-increased-atmospheric-co2-concentrations-global-warming/,Incorrect,2023-12-04 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSSDJHuJVWiUf-dJ889kHQ7W-ZVFd8M6YxWZKn9syTYQwtzlaMy,"['Диоксид углерода', 'Атмосфера', 'Человек', 'Океан', 'Дегазация']"
New photosynthesis study shows that Earth is not warming as predicted by climate models,Climate Feedback,https://climatefeedback.org/claimreview/global-warming-matches-model-predictions-well-misconstrued-claims-new-photosynthesis-study/,Inaccurate,2023-12-01 08:00:00,,"['климатическая модель', 'Фотосинтез', 'Изменение климата', 'Климат', 'Предвидение', 'Земля']"
"Trees absorb all CO2 in US; climate change caused by El Niño, sea volcanoes",USA Today,https://www.usatoday.com/story/news/factcheck/2023/11/29/false-claim-global-warming-from-volcanoes-and-el-nio-fact-check/71440999007/,False,2023-11-29 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTBSn6mefLheiUp-S2cDOdKiRVseFgnI8Mp0mgVPWGXMHbK2MLk,"['Изменение климата', 'Вулкан', 'Диоксид углерода', 'Море', 'Климат', 'Соединенные Штаты Америки', 'Дерево']"
Decreasing natural disaster death counts show climate change isn't real,USA Today,https://www.usatoday.com/story/news/factcheck/2023/11/27/false-claim-disaster-deaths-show-climate-change-not-real-fact-check/71249882007/,False,2023-11-27 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQrOZ_onHN02HRqc5OPZtv56-QWWjPJfS_UEk4oI3hMfGw87GUF,"['Изменение климата', 'Катастрофа', 'Климат', 'Смерть', 'Стихийное бедствие', 'Природа']"
Post implies 1913 record temp in Death Valley shows global warming not real,USA Today,https://www.usatoday.com/story/news/factcheck/2023/09/21/death-valley-heat-record-1913-global-warming-fact-check/70835613007/,Missing Context,2023-09-21 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSAp_GMz7ZFzr1s7ayWvHCmNK2pBsfa_On-CH5IddhQuBhVvXWI,"['Температура', 'Долина Смерти', 'Изменение климата', 'Долина']"
"""The amount of carbon dioxide in the atmosphere is actually close to an all-time low ever in human history.""",FactCheck.org,https://www.factcheck.org/2023/09/scicheck-ramaswamys-climate-change-spin/,False,2023-09-15 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcR4nPe9LVgOXB87MN5i2ZzF5_PIPV7ankdlO9KVrHYBSkV3v6P7,"['Человек', 'Время', 'Атмосфера Земли', 'Диоксид углерода', 'Всемирная история', 'Атмосфера', 'История']"
"""96 percent of US climate data is corrupted""",AFP Checamos,https://checamos.afp.com/node/51521,False,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTbWjwfmgYuKJzb3qxOURNINEa8YmRrF_FTnKjXKs6iPmzX9BNi,"['Климат', 'Данные', 'Соединенные Штаты Америки', 'Процент']"
“The climate change agenda is a hoax … The reality is more people are dying of bad climate change policies than they are of actual climate change.”,The Washington Post,https://www.washingtonpost.com/politics/2023/08/25/vivek-ramaswamy-says-hoax-agenda-kills-more-people-than-climate-change/,Four Pinocchios,2023-08-25 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTGl8NZCtoeCPCQWd4oJNz8rsYKRwRltMPv1zjDsKtgidA41ixO,"['Изменение климата', 'Климат', 'Политика', 'Республиканская партия', 'Дебаты']"
The term global warming was changed to climate change because the earth wasn’t warming as predicted.,Australian Associated Press,https://www.aap.com.au/factcheck/mish-mash-of-misinformation-gives-climate-change-a-bad-name/,"False. Global warming is still used to describe a warming planet and was never interchangeable with climate change. The earth has warmed, as predicted.",2023-08-25 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQGoM0aeiokkHCYbTPACpwFQzNpBVoGlcIdaDlVCC-50cLNwAcs,"['Изменение климата', 'Климат', 'Земля']"
Global News changed its weather map colors to sew climate panic,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.33RD8GF,Misleading,2023-08-18 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQqj_8ch9helxF_vxDYx2RqiwDZ1yOEjtO075Yp6LBf6XXtvNLr,"['Синоптическая карта', 'Погода', 'Географическая карта', 'Климат', 'Цвет', 'Global News', 'Новости']"
"Warming caused by Milankovitch cycles and solar inertial motion, not CO2",USA Today,https://www.usatoday.com/story/news/factcheck/2023/08/17/no-milankovitch-cycles-dont-cause-modern-global-warming-fact-check/70471408007/,False,2023-08-17 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTCvbcssavRufNxw3DBqfJ-aRnZWjPiOWa-ocHJ-9i4r1kbXgRi,"['Циклы Миланковича', 'Изменение климата', 'Милутин Миланкович', 'Диоксид углерода', 'Механическое движение', 'Солнечная энергия', 'Инерция', 'Инерциальная система отсчёта']"
Independent.ie published headline about 'asymptomatic global warming',AFP Fact Check,https://factcheck.afp.com/doc.afp.com.33Q299K,Altered,2023-07-28 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSjcClxkCjRydOxpZwMYLCj3YA9rfTYQx8sBPv5AQ2w7TNu_4Aj,"['Изменение климата', 'Irish Independent', 'Рубрикация', 'Без симптомов']"
Media reported that Ireland suffers 'from asymptomatic global warming',USA Today,https://www.usatoday.com/story/news/factcheck/2023/07/27/headline-about-irish-global-warming-is-fabricated-fact-check/70459677007/,False,2023-07-27 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTpichdh1HzSclp6VbKzS7yk-4qQJQitAlvxEmTMclVNqken4GB,"['Изменение климата', 'Медиа', 'Без симптомов']"
"A headline on the Irish Independent website said “Climate crisis explainer:
Why is July so cold while everywhere else on the planet is burning? Prof. Luke O'Neill says Ireland is suffering from asymptomatic global warming.”",Full Fact,https://fullfact.org/online/fake-independent-ie-headline-global-warming/,No such headline appeared on the website.,2023-07-24 07:00:00,,"['Изменение климата', 'Климат', 'Irish Independent', 'Рубрикация', 'Без симптомов']"
Emissions-driven global warming is a hoax; El Niño driving recent warming,USA Today,https://www.usatoday.com/story/news/factcheck/2023/07/21/no-el-nio-isnt-the-reason-we-have-climate-change-fact-check/70385441007/,False,2023-07-21 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTpichdh1HzSclp6VbKzS7yk-4qQJQitAlvxEmTMclVNqken4GB,"['Изменение климата', 'Мистификация']"
Video shows weather broadcaster saying global warming is a 'scam',USA Today,https://www.usatoday.com/story/news/factcheck/2023/07/21/weather-broadcaster-doesnt-call-global-warming-a-scam-fact-check/70440867007/,False,2023-07-17 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQ-mieQqv-nO2Z9jiS5FdFby6254QvBvG-W46oR05gYO4yfMSWl,"['Погода', 'Изменение климата', 'Телевизионный метеоролог', 'Видео', 'Телевизионная программа']"
CO2 is 0.04% of the atmosphere and humans have contributed only 3% of that.,USA Today,https://www.usatoday.com/story/news/factcheck/2023/06/26/humans-have-significant-impact-on-atmospheric-co2-fact-check/70278653007/,Partly False,2023-06-26 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSA9JlYRQPZOrftfDemAI0xIymLbCVbxcmHipt8kh0dxfb1kVkO,"['Диоксид углерода', 'Атмосфера', 'Человек']"
'Albedo effect' proves synthetic cover over Earth is causing global warming,USA Today,https://www.usatoday.com/story/news/factcheck/2023/05/30/false-claim-albedo-proves-global-warming-is-engineered-fact-checking/70228684007/,False,2023-05-30 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSoapz_K05IdrC2tP8hibh-N2cBwg_QPaLvXIEmrccc_nkWsdw5,"['Альбедо', 'Глобальное потепление', 'Земля']"
Earth hasn’t warmed since the mid-1980s and has only warmed by 0.7C since the 1850s.,Australian Associated Press,https://www.aap.com.au/factcheck/global-temperature-data-leaves-climate-sceptic-out-in-the-cold/,"False. Global temperatures have increased by around 1.1C since the industrial revolution, with the greatest rate of change occurring in recent decades.",2023-06-07 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQ0W_WKyXlSS0PxltGAa9-EUj-dlrGoP85dhPb9lIWUzalAfUgn,"['1850-е годы', 'Градус Цельсия', 'Земля', '1980-е годы']"
"“We have been cooling down for the past 4000 years”; the Earth has cooled since the ‘medieval warming’, “It’s all about when you start the measurements”",Climate Feedback,https://climatefeedback.org/claimreview/temperatures-on-earth-are-increasing-and-the-rise-is-drastically-outpacing-previous-natural-changes-in-the-planets-climate/,Inaccurate,2023-05-15 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQIFNcoMHJfhDAFH36uzdyvQabcYh3EH7fgkk8POr1OQ5PgcBWn,"['Изменение климата', 'Земля', 'Измерение', 'Средневековый климатический оптимум']"
Turbulence is increasing due to global warming,First Coast News,https://www.firstcoastnews.com/article/news/verify/yes-turbulence-is-increasing-due-global-warming/77-53638d0e-0cfb-47ec-8abc-483f61bfd841,True,2023-05-03 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSoHaJSGi61bJG5ec5RB95Ga7OtRoavYOpAzOq7LyLf7gsutlSN,"['Турбулентность', 'Изменение климата']"
"If global warming goes above 1.5 C “we’re done; there’s no way to turn it around, according to the scientists that tell us.”",FactCheck.org,https://www.factcheck.org/2023/04/warming-beyond-1-5-c-harmful-but-not-a-point-of-no-return-as-biden-claims/,False,2023-04-27 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTo1Iu1J9FkwD10ZxN5H2tD5uivJjEbxe2EKzS8deh5WlM4qVRW,"['Изменение климата', 'Глобальное потепление на 1,5 °C', 'Демократическая партия', 'Учёный', 'Соединенные Штаты Америки']"
Earth Will Become 4 Degrees Hotter During The Next Decade!!,Fact Crescendo Sri Lanka,https://srilanka.factcrescendo.com/english/exaggerated-claims-spread-about-the-global-warming-and-temperature-increments/,Misleading,2023-04-25 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRBxgRLnxeBRZv8cHWmkAvDtLjXdmTo_DE7MMsnf2vZ5UlDc-cf,['Земля']
NASA Antarctic ice sheet study shows global warming is a 'con',USA Today,https://www.usatoday.com/story/news/factcheck/2023/03/24/fact-check-antarctic-ice-sheet-mass-study-shows-global-warming/11360093002/,False,2023-03-24 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRRG4btn77K1DeyOF0TMnzj5G2pgjcKZhHjdMvDUdGoXk318qlX,"['Ледяной щит', 'Антарктический ледяной щит', 'Антарктида', 'Лёд', 'Глобальное потепление', 'НАСА']"
Chemtrails are intended to 'protect us from climate change',USA Today,https://www.usatoday.com/story/news/factcheck/2023/04/14/fact-check-chemtrails-arent-real-arent-related-climate-change/11624336002/,False,2023-04-14 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTk5RIlj5Qvl5efWVCZq8hWa58G2br65XEdB-hUf7qe6sYuQYnp,"['Химиотрассы', 'Изменение климата', 'Климат']"
"Climate change is caused by corporations using ""weather modification patents.”",PolitiFact,https://www.politifact.com/factchecks/2023/mar/29/instagram-posts/human-activity-causes-climate-change-yes-greenhous/,False,2023-03-29 07:00:00,,"['Изменение климата', 'Климат', 'Активное воздействие на гидрометеорологические процессы', 'Погода', 'Корпорация', 'Патент', 'Instagram']"
Satellite temperature data in January 2023 proves global warming is a hoax,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.338U7EP,Misleading,2023-02-13 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcT8pRgh4cdfarjr2_Lxw9MpiPTdxLK-ifFmRStCfCLKHrHxL_QN,"['Глобальное потепление', 'Данные', '2023', 'Января', 'спутниковые измерения температуры', 'Температура', 'Искусственный спутник', 'Мистификация']"
Video shows first snow in 100 years in Saudi Arabia,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.33AB7BR,False,2023-03-02 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQ4Z-m8Za1r-E5M-mxXbVgjPjl3CsYYR1xbj9jTCXaifimVMEtx,"['Снег', 'Саудовская Аравия', 'Видео', 'Арабия']"
‘No correlation’ between carbon dioxide emissions and the climate,USA Today,https://www.usatoday.com/story/news/factcheck/2023/02/27/fact-check-scientists-say-carbon-dioxide-levels-affect-climate/11275148002/,False,2023-02-27 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRhkjrE2LxvyL4Reou5jyll-irUGPa4eKxusCrLProlu3UiNOck,"['Диоксид углерода', 'Климат', 'Корреляция и зависимость']"
Additional CO2 has boosted crop yields,AFP Fact Check,https://factcheck.afp.com/doc.afp.com.339G4NM,Misleading,2023-02-22 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRUAhPLHqz9s-HsqeozqFfEB26C9XCkeqjwrFv5p0vnhV5B_M9d,"['Сельскохозяйственные культуры', 'Урожай', 'Диоксид углерода']"
"“Humans are not causing climate change.” Magnetic pole shifting “is causing havoc worldwide in weather, climate, earthquakes, tsunamis, etc.”",PolitiFact,https://www.politifact.com/factchecks/2023/feb/15/instagram-posts/do-magnetic-pole-shifts-cause-modern-climate-chang/,False,2023-02-15 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSrOHCPm3EF8NiMTrOKKnX4-IRMlldH37Ilz7hn5IcW5yUjP8Nb,"['Изменение климата', 'Магнитное поле Земли', 'Климат', 'Землетрясение', 'Магнит', 'Погода', 'Человек', 'Цунами']"
Earth's inner core is responsible for recent climate change trends,USA Today,https://www.usatoday.com/story/news/factcheck/2023/02/14/fact-check-climate-change-caused-humans-not-earths-core/11177275002/,False,2023-02-14 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcS9k1MEaR1WkDAev-AtfsbabslP6t6vaT-T0ukTk7mSpxdcVxIp,"['Изменение климата', 'Внутреннее ядро Земли', 'Климат', 'Земля']"
The average global temperature has increased 0.134 degrees since 1978,USA Today,https://www.usatoday.com/story/news/factcheck/2023/02/13/fact-check-post-understates-amount-global-warming-since-1978-uah/11223057002/,False,2023-02-13 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRhkjrE2LxvyL4Reou5jyll-irUGPa4eKxusCrLProlu3UiNOck,"['Температура', 'глобальный температурный рекорд', 'Среднее значение']"
It's more likely oceans are causing global warming than CO2,USA Today,https://www.usatoday.com/story/news/factcheck/2023/01/20/fact-check-global-warming-caused-co-2-not-ocean-warming/11066134002/,False,2023-01-20 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTHSiVzIjRGsI4rvCwZSkayPhOH8zTLrzx5fduVwiOSwfajbaz3,"['Глобальное потепление', 'Океан', 'Диоксид углерода']"
"Post implies climate change is 'cyclical,' not caused by humans",USA Today,https://www.usatoday.com/story/news/factcheck/2023/02/10/fact-check-co-2-responsible-global-warming-not-earth-cycles/11156725002/,Missing Context,2023-02-10 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRhkjrE2LxvyL4Reou5jyll-irUGPa4eKxusCrLProlu3UiNOck,"['Изменение климата', 'Климат', 'Человек']"
"Greenhouse effect is a hoax, global warming uncorrelated with CO2 levels",USA Today,https://www.usatoday.com/story/news/factcheck/2023/01/10/fact-check-global-temperatures-and-atmospheric-co-2-levels-correlated/10967204002/,False,2023-01-10 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRMGeHSogRyu2wJDC0JfQ9nW9gEdjclRFqBD0vJA8AA3-YVrh1v,"['Диоксид углерода', 'Глобальное потепление', 'Парниковые газы', 'Парниковый эффект', 'Мистификация']"
"""NOAA makes it official. Last 8 years... global cooling.""",FactCheck.org,https://www.factcheck.org/2023/01/scicheck-viral-tweet-misrepresents-noaa-report-on-rising-global-temperature/,Distorts the Facts,2023-01-26 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSZKmEMXvJSU7s0Rss5DxrJDj9HPHWogCD9Fe1FQ2ktd42nYYo7,"['Национальное управление океанических и атмосферных исследований США', 'Глобальное похолодание', 'Твиттер']"
A respected US academic has downplayed the impact of global warming and suggested it may benefit civilisation.,Australian Associated Press,https://www.aap.com.au/factcheck/selective-editing-distorts-experts-climate-change-views/,Misleading. The video is edited to omit a key disclaimer that he was being intentionally contrarian as part of a broader discussion on the dangers of climate change.,2023-01-25 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0OjTlTkdZcU_ZGnCYwTgXjOHS5-mcW382CihYQ0t_Lb8jIFLL,"['Изменение климата', 'Цивилизация']"
